encoder_id,model_id,style_axis,mean_source_semantic_similarity,median_source_semantic_similarity,sample_count
bge_m3,qwen35_35b_a3b,concision_detail,0.7712400947424508,0.7704074572403716,840
bge_m3,qwen35_35b_a3b,emotion_apology,0.8386536198144939,0.8435781529209169,840
bge_m3,qwen35_35b_a3b,empathy_clinical,0.8317830972448604,0.8379441047885392,840
bge_m3,qwen35_35b_a3b,expertise_explain,0.7491796941904021,0.7538953408378091,840
bge_m3,qwen35_35b_a3b,formality_request,0.8558138752393036,0.8621578438986582,840
bge_m3,qwen35_35b_a3b,humor_neutral,0.8072965533715748,0.8120472720534293,840
bge_m3,qwen35_35b_a3b,objectivity_cat,0.8066890822965339,0.815146954591605,840
bge_m3,qwen35_35b_a3b,politeness_refusal,0.816781437792385,0.8222231261531897,840
bge_m3,qwen35_4b,concision_detail,0.7792639971548034,0.7804044004407505,840
bge_m3,qwen35_4b,emotion_apology,0.8445717812339087,0.8485709971638435,840
bge_m3,qwen35_4b,empathy_clinical,0.8328961192644372,0.8365407166598439,840
bge_m3,qwen35_4b,expertise_explain,0.7432405393107282,0.7491747645630892,840
bge_m3,qwen35_4b,formality_request,0.8554035399300991,0.8624798482055953,840
bge_m3,qwen35_4b,humor_neutral,0.8003986327937892,0.8065645272898254,840
bge_m3,qwen35_4b,objectivity_cat,0.8267714435129713,0.8378772719261669,840
bge_m3,qwen35_4b,politeness_refusal,0.8132004733241288,0.8155900376809194,840
bge_m3,qwen35_9b,concision_detail,0.7723939042904254,0.7700046331586305,840
bge_m3,qwen35_9b,emotion_apology,0.8249989579914159,0.8312571188066169,840
bge_m3,qwen35_9b,empathy_clinical,0.8173284377792592,0.8182775002303326,840
bge_m3,qwen35_9b,expertise_explain,0.730791330680066,0.7357676098007031,840
bge_m3,qwen35_9b,formality_request,0.8497963714649545,0.8576468415471986,840
bge_m3,qwen35_9b,humor_neutral,0.7786592041774242,0.7805049957688256,840
bge_m3,qwen35_9b,objectivity_cat,0.7904254548730616,0.7998130925443665,840
bge_m3,qwen35_9b,politeness_refusal,0.8028294234398133,0.804789720019303,840
bge_m3,qwen36_27b,concision_detail,0.7731904094861317,0.7740223811906533,840
bge_m3,qwen36_27b,emotion_apology,0.8302558710183455,0.8383682542021921,840
bge_m3,qwen36_27b,empathy_clinical,0.812329779772269,0.8183433801953388,840
bge_m3,qwen36_27b,expertise_explain,0.723039175289392,0.725746148121238,840
bge_m3,qwen36_27b,formality_request,0.8503414529380786,0.8543232252400821,840
bge_m3,qwen36_27b,humor_neutral,0.7884067593464763,0.7946101348581955,840
bge_m3,qwen36_27b,objectivity_cat,0.7545242832250487,0.755717940690269,840
bge_m3,qwen36_27b,politeness_refusal,0.8100886919450129,0.8160007063500787,840
bge_m3,qwen36_35b_a3b,concision_detail,0.7651955543036655,0.7663001841632974,840
