model_id,style_axis,cell_count,scalar_judge_mae,spearman,pearson,calibration_slope,calibration_intercept
qwen35_35b_a3b,concision_detail,280,0.2973611111111111,0.2522815469272971,0.25621426347840826,0.13080357142857138,0.5498958333333339
qwen35_35b_a3b,emotion_apology,280,0.2589087301587301,0.7842968524978424,0.7466407667906952,0.7923214285714291,-0.08336309523809507
qwen35_35b_a3b,empathy_clinical,280,0.24876984126984125,0.8339415976902232,0.77273517505245,0.7342857142857144,0.3396428571428578
qwen35_35b_a3b,expertise_explain,280,0.14172619047619048,0.8628799403832876,0.8774763769505397,0.8072321428571433,0.03489583333333341
qwen35_35b_a3b,formality_request,280,0.1353968253968254,0.9242680262818823,0.9073291999810033,0.9726785714285714,-0.03824404761904721
qwen35_35b_a3b,humor_neutral,280,0.22037698412698412,0.715365116543104,0.6975020306173163,0.5840178571428575,0.19924107142857153
qwen35_35b_a3b,objectivity_cat,280,0.2430952380952381,0.7973795904803216,0.7793999184039675,0.8576785714285715,0.2221130952380958
qwen35_35b_a3b,politeness_refusal,280,0.2739484126984127,0.6694740609838368,0.6105245776733346,0.5166964285714287,0.4357589285714289
qwen35_4b,concision_detail,280,0.31736111111111115,0.11630824199021648,0.10316135619864034,0.05116071428571428,0.5830505952380955
qwen35_4b,emotion_apology,280,0.3018650793650794,0.768908641281845,0.7283693456983729,0.6350000000000003,-0.08904761904761899
qwen35_4b,empathy_clinical,280,0.325813492063492,0.7604084127671354,0.6343649144800849,0.45321428571428557,0.5683333333333341
qwen35_4b,expertise_explain,280,0.22456349206349208,0.7683834471535409,0.7770089066672661,0.7366071428571431,-0.06318452380952366
qwen35_4b,formality_request,280,0.21509920634920637,0.8308843932855994,0.8049012466587796,0.7619642857142862,-0.05532738095238091
qwen35_4b,humor_neutral,280,0.21259920634920634,0.7290505894365521,0.7369500155396911,0.5966964285714287,0.2429017857142861
qwen35_4b,objectivity_cat,280,0.4,0.6167197158601522,0.4842485198494424,0.2357142857142856,0.7545238095238103
qwen35_4b,politeness_refusal,280,0.36371031746031746,0.5435231053854548,0.45554959526282646,0.17821428571428571,0.740476190476191
qwen35_9b,concision_detail,280,0.2853174603174603,0.40125078153917637,0.3990204929970819,0.1677678571428571,0.5687351190476195
qwen35_9b,emotion_apology,280,0.2279563492063492,0.8390441117009849,0.8406172494025488,0.9747321428571428,-0.14754464285714247
qwen35_9b,empathy_clinical,280,0.2978373015873016,0.8237383553551985,0.7129348015058657,0.5908928571428571,0.47401785714285755
qwen35_9b,expertise_explain,280,0.13994047619047617,0.936163332583071,0.9279326281846251,1.0140178571428577,-0.08825892857142839
qwen35_9b,formality_request,280,0.13873015873015873,0.9162090709594157,0.9213892122483329,1.0974107142857144,-0.078943452380952
qwen35_9b,humor_neutral,280,0.19708333333333333,0.8535102528498836,0.8196113207964081,0.6943750000000002,0.2607291666666671
qwen35_9b,objectivity_cat,280,0.2366865079365079,0.8566081182471068,0.7959026648680868,0.9075892857142857,0.2009077380952387
qwen35_9b,politeness_refusal,280,0.3408333333333333,0.7288946129054326,0.5436195730860909,0.3413392857142857,0.631949404761905
qwen36_27b,concision_detail,280,0.2896825396825397,0.46347701972240885,0.44777221385542254,0.23732142857142863,0.5251488095238096
qwen36_27b,emotion_apology,280,0.2640476190476191,0.748041718082146,0.7375263570818014,0.7583035714285713,0.003348214285714654
qwen36_27b,empathy_clinical,280,0.22913095238095238,0.8586936175651966,0.8185969449615986,0.8142321428571433,0.24427678571428607
qwen36_27b,expertise_explain,280,0.17136904761904762,0.8163374132760274,0.8497950679316593,0.7574107142857143,0.05004464285714314
qwen36_27b,formality_request,280,0.18621031746031744,0.9010075263185164,0.8728007347997971,1.0060714285714287,-0.025714285714285315
qwen36_27b,humor_neutral,280,0.21194444444444444,0.8215265198249116,0.7780002056942141,0.666607142857143,0.28324404761904826
qwen36_27b,objectivity_cat,280,0.24230158730158727,0.8008725873377608,0.7826500137302381,0.8865178571428571,0.13816964285714345
qwen36_27b,politeness_refusal,280,0.2339920634920635,0.8391207622794292,0.7900565334129129,0.7289464285714284,0.2930505952380958
qwen36_35b_a3b,concision_detail,280,0.314265873015873,0.2123182145671532,0.21581783256313325,0.11517857142857145,0.5893750000000002
qwen36_35b_a3b,emotion_apology,280,0.21593253968253967,0.8447034357613156,0.8258517784768975,0.9463392857142858,-0.05727678571428531
qwen36_35b_a3b,empathy_clinical,280,0.2520634920634921,0.8687268999173863,0.8003791890874083,0.7433035714285715,0.34477678571428616
qwen36_35b_a3b,expertise_explain,280,0.12029761904761904,0.92213517456824,0.9244378957009204,0.8817857142857145,0.06583333333333347
qwen36_35b_a3b,formality_request,280,0.14349206349206348,0.9411825123660449,0.9253885267943378,1.023125,-0.08227678571428522
qwen36_35b_a3b,humor_neutral,280,0.20055555555555554,0.8065954445776335,0.7913219031662282,0.7143750000000002,0.12459821428571455
qwen36_35b_a3b,objectivity_cat,280,0.24597222222222218,0.8184483675704683,0.782810655547738,0.8347321428571434,0.2536458333333337
qwen36_35b_a3b,politeness_refusal,280,0.2862301587301587,0.7308510241928169,0.6502836951161142,0.554642857142857,0.4338690476190481
